KEPH,Facility_category,Owner,County,whole_day,public_holidays,weekends,late_night
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Tharaka Nithi,Yes,No,Yes,No
Level 2,STAND ALONE,Private Practice,Laikipia,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyeri,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Laikipia,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyeri,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Uasin Gishu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,Yes,No
Level 2,DISPENSARY,Private Practice,Kericho,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nyeri,Yes,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Siaya,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,Yes,No
Level 2,DISPENSARY,Private Practice,Narok,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Kitui,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Uasin Gishu,No,No,Yes,No
Level 5,HOSPITALS,Faith Based Organization,Kiambu,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Narok,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Kiambu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,Yes,No,Yes,No
Level 2,DISPENSARY,Private Practice,Nandi,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kisumu,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Wajir,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Taita Taveta,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Garissa,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Uasin Gishu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,West Pokot,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Taita Taveta,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Garissa,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Machakos,Yes,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Makueni,No,No,No,No
Level 2,STAND ALONE,Private Practice,Kirinyaga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kisii,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Kisii,Yes,No,No,No
Level 4,HOSPITALS,Ministry of Health,Kisii,Yes,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Nyamira,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kiambu,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Migori,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Kisumu,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,Primary health  care services,Ministry of Health,Baringo,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyandarua,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tharaka Nithi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyandarua,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kisii,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nyeri,No,No,No,No
Level 3,HEALTH CENTRE,Faith Based Organization,Migori,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,Yes,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Homa Bay,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Taita Taveta,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Wajir,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kisii,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Migori,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Mombasa,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kisumu,No,No,No,No
Level 4,HOSPITALS,Private Practice,Siaya,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,No,Yes,No
Level 4,HOSPITALS,Ministry of Health,Nyandarua,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Marsabit,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Makueni,No,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Muranga,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Meru,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mandera,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kilifi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Trans Nzoia,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Taita Taveta,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kisii,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Kisii,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nandi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Machakos,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Migori,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mandera,No,No,No,No
Level 3,HEALTH CENTRE,Faith Based Organization,Siaya,Yes,No,Yes,No
Level 2,DISPENSARY,Private Practice,Kiambu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mandera,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Embu,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Embu,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nyeri,No,No,No,No
Level 3,HEALTH CENTRE,Faith Based Organization,Kisumu,Yes,No,Yes,No
Level 4,HOSPITALS,Ministry of Health,Kiambu,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Taita Taveta,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,Yes,No
Level 3,HEALTH CENTRE,Non-Governmental Organizations,Lamu,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Migori,Yes,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Garissa,No,No,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Machakos,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Faith Based Organization,Bungoma,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Taita Taveta,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Wajir,No,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Marsabit,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Machakos,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,No,No
Level 4,HOSPITALS,Faith Based Organization,Kiambu,Yes,Yes,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Embu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kilifi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Bungoma,Yes,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyandarua,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Nyeri,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kisii,Yes,No,Yes,No
Level 4,HOSPITALS,Ministry of Health,Mandera,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Tharaka Nithi,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Embu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Makueni,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Trans Nzoia,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Wajir,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Laikipia,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Migori,Yes,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Garissa,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Muranga,No,No,No,No
Level 3,HEALTH CENTRE,Faith Based Organization,Mombasa,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Nairobi,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Taita Taveta,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kakamega,No,No,No,No
Level 3,HEALTH CENTRE,Non-Governmental Organizations,Nairobi,Yes,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Tana River,No,No,No,No
Level 4,HOSPITALS,Faith Based Organization,Kakamega,Yes,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Turkana,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kisumu,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nyandarua,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Siaya,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Homa Bay,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Garissa,No,No,Yes,No
Level 4,HOSPITALS,Ministry of Health,Mandera,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Wajir,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Kirinyaga,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Lamu,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Mandera,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Wajir,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,Yes,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Muranga,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Kirinyaga,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Embu,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Meru,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Garissa,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Garissa,Yes,No,Yes,No
Level 4,HOSPITALS,Ministry of Health,Garissa,Yes,Yes,Yes,Yes
Level 4,HOSPITALS,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 5,HOSPITALS,Ministry of Health,Garissa,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Baringo,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyeri,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Machakos,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Embu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Garissa,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyamira,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Laikipia,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Garissa,Yes,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Makueni,Yes,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Nyandarua,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Mandera,No,No,No,No
Level 4,HOSPITALS,Faith Based Organization,Meru,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyeri,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nyeri,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,STAND ALONE,Ministry of Health,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Wajir,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Kirinyaga,Yes,No,Yes,No
Level 4,HOSPITALS,Ministry of Health,Trans Nzoia,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Wajir,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tana River,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kisii,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Mandera,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Faith Based Organization,Meru,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kiambu,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 4,HOSPITALS,Private Practice,Muranga,Yes,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tana River,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Garissa,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,Yes,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Garissa,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Machakos,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Tharaka Nithi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Mandera,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Mandera,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kisumu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,West Pokot,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Wajir,No,No,No,No
Level 3,HEALTH CENTRE,Faith Based Organization,Machakos,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyandarua,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Lamu,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Mandera,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Siaya,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,Yes,No
Level 2,DISPENSARY,Private Practice,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,Yes,Yes,Yes,No
Level 3,NURSING HOME,Private Practice,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Migori,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Wajir,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nyeri,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Wajir,Yes,No,No,No
Level 4,HOSPITALS,Ministry of Health,Garissa,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Wajir,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Siaya,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Kilifi,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Wajir,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Garissa,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Wajir,No,No,Yes,No
Level 4,HOSPITALS,Ministry of Health,Wajir,No,No,No,No
Level 4,HOSPITALS,Private Practice,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Garissa,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Embu,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Machakos,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,No,Yes,No
Level 4,HOSPITALS,Faith Based Organization,Nairobi,Yes,Yes,Yes,Yes
Level 3,HEALTH CENTRE,Ministry of Health,Kisii,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,No,No
Level 3,HEALTH CENTRE,Faith Based Organization,Nairobi,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Nyamira,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Wajir,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Embu,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Nairobi,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,Yes,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Kilifi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyeri,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,STAND ALONE,Ministry of Health,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Embu,No,No,No,No
Level 2,MEDICAL CENTER,Private Practice,Kakamega,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kilifi,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 4,HOSPITALS,Private Practice,Nairobi,Yes,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Busia,Yes,No,Yes,No
Level 2,STAND ALONE,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 3,None,Ministry of Health,Kakamega,Yes,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nakuru,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Machakos,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Taita Taveta,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nyamira,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Taita Taveta,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nyandarua,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Kirinyaga,No,No,No,No
Level 2,STAND ALONE,Ministry of Health,Nairobi,No,No,No,No
Level 3,NURSING HOME,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Laikipia,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Meru,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Marsabit,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tana River,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Mombasa,No,No,No,No
